epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,74.0686,0.69584,0.93101,1,0.18958,0.000408163,0.000408163,0.000408163
2,147.816,0.18964,0.94874,1,0.17679,0.000743172,0.000743172,0.000743172
3,217.963,0.17143,0.92972,1,0.21725,0.00099568,0.00099568,0.00099568
4,286.012,0.16113,0.91135,1,0.22994,0.00087875,0.00087875,0.00087875
5,358.636,0.12607,0.96196,1,0.09987,0.000755,0.000755,0.000755
6,428.609,0.08652,0.96196,1,0.10409,0.00063125,0.00063125,0.00063125
7,501.658,0.07595,0.96357,1,0.10578,0.0005075,0.0005075,0.0005075
8,571.249,0.06083,0.97228,1,0.07878,0.00038375,0.00038375,0.00038375
9,643.01,0.04889,0.9784,1,0.06212,0.00026,0.00026,0.00026
10,716.557,0.0397,0.98066,1,0.06089,0.00013625,0.00013625,0.00013625
