epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.51369,1.52426,0.2,1,1.57598,0,0,0
2,5.25289,1.53015,0.2,1,1.56382,1.2005e-05,1.2005e-05,1.2005e-05
3,7.75654,1.38107,0.2,1,1.54488,2.302e-05,2.302e-05,2.302e-05
4,10.2467,1.40791,0.33333,1,1.50186,3.3045e-05,3.3045e-05,3.3045e-05
5,12.6828,1.28984,0.33333,1,1.44999,4.208e-05,4.208e-05,4.208e-05
6,15.1045,1.28352,0.33333,1,1.37499,5.0125e-05,5.0125e-05,5.0125e-05
7,17.6401,1.19663,0.6,1,1.28831,5.718e-05,5.718e-05,5.718e-05
8,19.912,1.11698,0.6,1,1.19118,6.3245e-05,6.3245e-05,6.3245e-05
9,22.1695,1.03691,0.73333,1,1.09157,6.832e-05,6.832e-05,6.832e-05
10,24.4595,0.90323,0.73333,1,0.988,7.2405e-05,7.2405e-05,7.2405e-05
11,26.7785,0.8045,0.73333,1,0.88986,7.55e-05,7.55e-05,7.55e-05
12,29.0393,0.70812,0.73333,1,0.80099,7.7605e-05,7.7605e-05,7.7605e-05
13,31.3436,0.65032,0.73333,1,0.71433,7.872e-05,7.872e-05,7.872e-05
14,33.6243,0.62677,0.8,1,0.63402,7.8845e-05,7.8845e-05,7.8845e-05
15,35.9266,0.55646,0.86667,1,0.56495,7.798e-05,7.798e-05,7.798e-05
16,38.1999,0.42457,0.93333,1,0.50666,7.6125e-05,7.6125e-05,7.6125e-05
17,40.5608,0.41123,1,1,0.44816,7.328e-05,7.328e-05,7.328e-05
18,42.7776,0.42739,1,1,0.44816,6.9445e-05,6.9445e-05,6.9445e-05
19,45.0378,0.43149,1,1,0.38992,6.462e-05,6.462e-05,6.462e-05
20,47.2315,0.39882,1,1,0.38992,5.8805e-05,5.8805e-05,5.8805e-05
21,49.4763,0.32738,1,1,0.34831,5.2e-05,5.2e-05,5.2e-05
22,51.7179,0.37857,1,1,0.34831,4.4205e-05,4.4205e-05,4.4205e-05
23,53.9789,0.40269,1,1,0.3168,3.542e-05,3.542e-05,3.542e-05
24,56.1804,0.35634,1,1,0.3168,2.5645e-05,2.5645e-05,2.5645e-05
25,58.4149,0.2889,1,1,0.29683,1.488e-05,1.488e-05,1.488e-05
