epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,75.5029,0.80826,0.93142,0.99903,0.1943,0.000329897,0.000329897,0.000329897
2,149.944,0.23032,0.93303,0.99936,0.19285,0.00059757,0.00059757,0.00059757
3,223.871,0.21187,0.92337,0.99936,0.21903,0.000799244,0.000799244,0.000799244
4,296.401,0.21508,0.91404,0.99968,0.25713,0.000703,0.000703,0.000703
5,367.668,0.15544,0.95911,1,0.1352,0.000604,0.000604,0.000604
6,440.815,0.11234,0.96169,1,0.11017,0.000505,0.000505,0.000505
7,514.148,0.09484,0.96394,1,0.09842,0.000406,0.000406,0.000406
8,590.711,0.07781,0.96974,1,0.09233,0.000307,0.000307,0.000307
9,666.167,0.05597,0.97392,1,0.08024,0.000208,0.000208,0.000208
10,741.922,0.04312,0.97682,1,0.07175,0.000109,0.000109,0.000109
